pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full
obj1,Unknown,,Polychrome Mosaic Depicting a Rooster,unknown,mosaic,National Museum of Rome,Baths of Diocletian,0,imperium_item,history,"",""
obj2,Unknown,,Publius Claudius Pulcher And The Sacred Chickens,unknown,art,,,1,imperium_item,history,"",""
obj3,Nicolas Beatrizet,,The Sacred Chickens of Rome in Their Coop,unknown,engraving,"Special Collections Research Center, University of Chicago Library",Speculum Romanae Magnificentiae,2,imperium_item,history,"",""
obj4,Peter Lord and Nick Park,,"""Those Chickens are up to something...""",01/21/2000,Movie,World Wide Web,Chicken Run,3,imperium_item,history,/img/derivatives/simple/obj4/thumbnail.jpg,/img/derivatives/simple/obj4/fullwidth.jpg
