pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,manifest,full
ang1,Chloe Harrison,,Roman Temple Angle 1,2022,art,https://cdna.artstation.com/p/assets/images/images/053/893/212/large/chloe-harrison-roman-temple-angle-1-small.jpg?1663261378,,0,imperium_item,pageart,"/img/derivatives/iiif/images/ang1/full/250,/0/default.jpg",/img/derivatives/iiif/ang1/manifest.json,"/img/derivatives/iiif/images/ang1/full/1140,/0/default.jpg"
ang2,Chloe Harrison,,Roman Temple Angle 2,2022,art,https://cdna.artstation.com/p/assets/images/images/053/893/374/large/chloe-harrison-roman-temple-angle-2-small.jpg?1663261754,,1,imperium_item,pageart,"/img/derivatives/iiif/images/ang2/full/250,/0/default.jpg",/img/derivatives/iiif/ang2/manifest.json,"/img/derivatives/iiif/images/ang2/full/1140,/0/default.jpg"
